7.46,0,26.9
5.34,1,18.24
5.99,0,15.98
8.26,1,28.9
8.92,1,31.89
6.54,0,19.93
9.78,0,30.22
9.87,1,32.86
9.04,1,31.77
9.98,1,34.54
9.2,0,28.79
8.21,0,26.62
6.34,1,20.99
5.89,0,19.75
9.08,0,32.89
4.84,0,14.3
7.11,0,21.39
7.56,1,22.72
9.65,0,32.46
7.77,1,23.58
7.52,1,26.71
5.65,1,18.79
4.89,1,17.09
8.81,1,31.19
6.32,0,20.97
8.92,0,29.63
8.11,1,29.6
9.3,0,25.06
4.67,1,13.97
8.67,1,27.76
7.73,1,25.9
5.64,0,20.19
5.81,1,24.08
6.09,1,21.91
5.97,1,21.68
8.86,0,24.47
5.65,0,17.84
9.63,1,30.45
9.41,0,31.3
5.06,0,16.91
8.79,0,31.46
4.5,0,17.84
5.71,1,21.12
7.97,1,26.51
8.71,0,27.26
8.66,0,27.41
4.73,1,19.57
6.23,1,23.5
5.79,0,20.86
8.52,0,28.7
